city,fips_regions,lon,lat,state,zipcode
"Shutesbury",25,-72.414,42.4514,"MA",1072
"Southampton",25,-72.7334,42.2241,"MA",1073
"South Barre",25,-72.0998,42.3824,"MA",1074
"South Hadley",25,-72.5796,42.2481,"MA",1075
"Southwick",25,-72.7688,42.0472,"MA",1077
"Three Rivers",25,-72.3696,42.1792,"MA",1080
"Wales",25,-72.2245,42.0579,"MA",1081
"Ware",25,-72.3074,42.2722,"MA",1082
"Warren",25,-72.2112,42.2175,"MA",1083
"West Chesterfield",25,-72.8811,42.3666,"MA",1084
"Westfield",25,-72.7570,42.1319,"MA",1085
"Westfield",25,-72.7501,42.1253,"MA",1086
"West Hatfield",25,-72.6506,42.3931,"MA",1088
"West Springfield",25,-72.6506,42.125,"MA",1089
"West Springfield",25,-72.62,42.11,"MA",1090
"Whately",25,-72.6353,42.4399,"MA",1093
"Wilbraham",25,-72.4377,42.1301,"MA",1095
"Williamsburg",25,-72.7806,42.3846,"MA",1096
"Woronoco",25,-72.8751,42.1594,"MA",1097
"Worthington",25,-72.9224,42.4063,"MA",1098
"Springfield",25,-72.5963,42.1066,"MA",1101
"Spfld",25,-72.5905,42.1015,"MA",1102
"Springfield",25,-72.5929,42.1052,"MA",1103
"Springfield",25,-72.5501,42.1429,"MA",1104
"Springfield",25,-72.5811,42.1034,"MA",1105
"Longmeadow",25,-72.5796,42.0563,"MA",1106
"Springfield",25,-72.6122,42.1214,"MA",1107
"Springfield",25,-72.5589,42.0843,"MA",1108
"Springfield",25,-72.5501,42.1237,"MA",1109
"Springfield",25,-72.5481,42.1173,"MA",1111
"Bay State W Mall",25,-72.5905,42.1015,"MA",1114
"Bay State W Tower",25,-72.5905,42.1015,"MA",1115
"Longmeadow",25,-72.58,42.05,"MA",1116
"Springfield",25,-72.5382,42.0931,"MA",1118
"Springfield",25,-72.5146,42.1278,"MA",1119
"Springfield",25,-72.4879,42.0972,"MA",1128
"Springfield",25,-72.4909,42.1144,"MA",1129
"Monarch Life Ins Co",25,-72.5905,42.1015,"MA",1133
"Spfld",25,-72.5905,42.1015,"MA",1138
"Spfld",25,-72.5905,42.1015,"MA",1139
"Springfield",25,-72.5909,42.1017,"MA",1144
"Springfield",25,-72.5190,42.1512,"MA",1152
"Springfield",25,-72.6103,42.1262,"MA",1199
"Pittsfield",25,-73.3001,42.4635,"MA",1201
"Pittsfield",25,-73.2456,42.4501,"MA",1202
"Pittsfield",25,-73.2456,42.4501,"MA",1203
"Adams",25,-73.1114,42.6259,"MA",1220
"Ashley Falls",25,-73.3178,42.0583,"MA",1222
"Becket",25,-73.1114,42.3203,"MA",1223
"Berkshire",25,-73.1984,42.5067,"MA",1224
"Cheshire",25,-73.1468,42.5645,"MA",1225
"Dalton",25,-73.1468,42.4882,"MA",1226
"Dalton",25,-73.17,42.47,"MA",1227
"Hinsdale",25,-73.0641,42.4279,"MA",1235
"Housatonic",25,-73.3827,42.2746,"MA",1236
"Hancock",25,-73.2411,42.5787,"MA",1237
"Lee",25,-73.2058,42.2962,"MA",1238
"Lenox",25,-73.2647,42.3721,"MA",1240
"Middlefield",25,-73.0228,42.3595,"MA",1243
"North Adams",25,-73.0641,42.6949,"MA",1247
"Otis",25,-73.0996,42.1938,"MA",1253
"Richmond",25,-73.3591,42.367,"MA",1254
"Sandisfield",25,-73.1114,42.0899,"MA",1255
"Savoy",25,-73.0169,42.5734,"MA",1256
"Sheffield",25,-73.3944,42.0938,"MA",1257
"Southfield",25,-73.2411,42.0613,"MA",1259
"Stockbridge",25,-73.306,42.2776,"MA",1262
"Assoc of Marian Helpers",25,-73.3208,42.2878,"MA",1263
"Tyringham",25,-73.1704,42.2237,"MA",1264
"West Stockbridge",25,-73.3827,42.3322,"MA",1266
"Williamstown",25,-73.2529,42.6853,"MA",1267
"East Windsor",25,-73.0430,42.5137,"MA",1270
"Greenfield",25,-72.6033,42.6334,"MA",1301
"Greenfield",25,-72.6999,42.59,"MA",1302
"Ashfield",25,-72.8279,42.5064,"MA",1330
"Athol",25,-72.1653,42.5546,"MA",1331
"Bernardston",25,-72.5441,42.6907,"MA",1337
"Buckland",25,-72.8072,42.5866,"MA",1338
"Charlemont",25,-72.8752,42.628,"MA",1339
"Conway",25,-72.6861,42.5226,"MA",1341
"Deerfield",25,-72.6269,42.542,"MA",1342
"Drury",25,-72.9992,42.6612,"MA",1343
"Erving",25,-72.3903,42.6189,"MA",1344
"Heath",25,-72.825,42.6511,"MA",1346
"Millers Falls",25,-72.5027,42.5749,"MA",1349
"Montague",25,-72.5323,42.5462,"MA",1351
"Gill",25,-72.5087,42.6376,"MA",1354
"New Salem",25,-72.3074,42.4631,"MA",1355
"Northfield",25,-72.4377,42.6834,"MA",1360
"Orange",25,-72.2956,42.6039,"MA",1364
"Petersham",25,-72.2127,42.4861,"MA",1366
"Rowe",25,-72.9106,42.7,"MA",1367
"Royalston",25,-72.1653,42.6686,"MA",1368
"Shelburne Falls",25,-72.6861,42.5988,"MA",1370
"South Deerfield",25,-72.6269,42.4657,"MA",1373
"Sunderland",25,-72.556,42.4547,"MA",1375
"Turners Falls",25,-72.5619,42.5842,"MA",1376
"Warwick",25,-72.3548,42.6608,"MA",1378
"Wendell",25,-72.414,42.5466,"MA",1379
"Wendell Depot",25,-72.3592,42.5606,"MA",1380
"Fitchburg",25,-71.8334,42.5769,"MA",1420
"Ashburnham",25,-71.9283,42.6682,"MA",1430
"Ashby",25,-71.8216,42.6792,"MA",1431
"Ayer",25,-71.5605,42.5604,"MA",1432
"Ayer",25,-71.6139,42.536,"MA",1434
"Baldwinville",25,-72.0824,42.6078,"MA",1436
"East Templeton",25,-72.0361,42.5614,"MA",1438
"Gardner",25,-71.9876,42.5925,"MA",1440
"Gardner",25,-71.9988,42.575,"MA",1441
"Groton",25,-71.5487,42.6058,"MA",1450
"Harvard",25,-71.5843,42.5074,"MA",1451
"Hubbardston",25,-72.0231,42.4937,"MA",1452
"Leominster",25,-71.7385,42.5233,"MA",1453
"Littleton",25,-71.4893,42.5295,"MA",1460
"Lunenburg",25,-71.7385,42.5993,"MA",1462
"Pepperell",25,-71.608,42.663,"MA",1463
"Templeton",25,-72.0587,42.547,"MA",1468
"Townsend",25,-71.6792,42.6748,"MA",1469
"Groton",25,-71.5752,42.6112,"MA",1470
"Groton",25,-71.5857,42.625,"MA",1471
"Westminster",25,-71.8927,42.5581,"MA",1473
"West Townsend",25,-71.7504,42.6675,"MA",1474
"Winchendon",25,-72.0231,42.6836,"MA",1475
"Auburn",25,-71.8453,42.1883,"MA",1501
"Berlin",25,-71.6317,42.3822,"MA",1503
"Blackstone",25,-71.5368,42.0418,"MA",1504
"Boylston",25,-71.7267,42.3597,"MA",1505
"Brookfield",25,-72.1061,42.1923,"MA",1506
"Charlton",25,-71.9757,42.1425,"MA",1507
"Clinton",25,-71.6792,42.409,"MA",1510
"East Brookfield",25,-72.0409,42.2057,"MA",1515
"Douglas",25,-71.7504,42.0579,"MA",1516
"Fiskdale",25,-72.1238,42.1137,"MA",1518
"Grafton",25,-71.6792,42.1993,"MA",1519
"Holden",25,-71.8453,42.341,"MA",1520
"Holland",25,-72.1653,42.0581,"MA",1521
"Jefferson",25,-71.869,42.383,"MA",1522
"Lancaster",25,-71.6792,42.4851,"MA",1523
"Leicester",25,-71.9164,42.2572,"MA",1524
"Linwood",25,-71.6455,42.0973,"MA",1525
"Manchaug",25,-71.7482,42.0945,"MA",1526
"Millbury",25,-71.7741,42.1958,"MA",1527
"Millville",25,-71.5783,42.0344,"MA",1529
"New Braintree",25,-72.1298,42.3299,"MA",1531
"Northborough",25,-71.6555,42.3289,"MA",1532
"Northbridge",25,-71.6377,42.1494,"MA",1534
"North Brookfield",25,-72.0705,42.2726,"MA",1535
"North Grafton",25,-71.697,42.2261,"MA",1536
"North Oxford",25,-71.8927,42.1578,"MA",1537
"Oxford",25,-71.869,42.1156,"MA",1540
"Princeton",25,-71.869,42.4592,"MA",1541
"Rochdale",25,-71.9105,42.2037,"MA",1542
